,Max,Volume,Isotropy,MainAxis_X,MainAxis_Y,MainAxis_Z
Mean,966.6359957833808,46850389.5504503,0.9784606521288383,-0.48949965383032606,-0.038517056916745805,-0.17778191489395376
std,690.095701498876,52404008.338500395,0.03081066724451422,0.29776425226509484,0.6324095148225811,0.48856987717384237
