,shoulder0_X,shoulder0_Y,shoulder0_Z,elbow_X,elbow_Y,elbow_Z,wrist_hand_X,wrist_hand_Y,wrist_hand_Z,EF_X,EF_Y,EF_Z,SubjectMass
Mean,-0.051849774358974365,0.023681856410256413,0.18463926666666663,0.08485485192307693,0.023244266168091162,0.25420990121082626,0.15994577716049377,0.09793262235675848,0.3439783899889205,0.1739387462883824,0.10843471616017727,0.3441114959164292,75.46666666666667
std,0.018044442736549652,0.02214296052106429,0.02076006225140251,0.10634097052138945,0.2632775085398864,0.1265380162486683,0.20424723115292454,0.3714827859601817,0.19242981365505,0.2170721886137949,0.38461459892248584,0.20482100817251492,10.184123740226983
