,Theta_45_V1_N,Theta_45_V2_N,Theta_45_V3_N,Theta_45_V4_N,Theta_45_V5_N,Theta_45_V6_N,Theta_45_V7_N,Theta_45_V8_N,Theta_45_V9_N,Theta_45_V10_N,Theta_45_V11_N,Theta_45_V12_N,Theta_45_V13_N,Theta_45_V14_N,Theta_45_V15_N,Theta_45_V16_N,Theta_45_V17_N,Theta_45_V18_N,Theta_45_V19_N,Theta_45_V20_N,Theta_45_V21_N,Theta_45_V22_N,Theta_45_V23_N,Theta_45_V24_N,Theta_45_V25_N,Theta_45_V26_N
Mean,105.98305587624249,136.69593396494932,133.06331450893478,79.89547157091643,117.06583763931623,155.5520527826765,91.92534393153689,136.58712496465654,86.13063643194842,184.5960795507518,180.8055979174581,119.00666448270022,149.5065380994698,101.00172732287906,148.3452048873694,115.71852004080405,161.16943758491612,168.08343180487498,136.59746075755774,148.45320018365777,139.68016885288066,174.8638682021051,155.6228660674185,140.8599995153292,156.1779735480374,163.13980207822888
std,103.26782444171754,121.571491002802,112.85092121616317,53.313170945336815,105.7665277448518,116.03084284427733,61.5356367197525,110.71478344554359,54.20837369249703,146.5650889783264,121.79989883963074,83.99490210336441,104.98655136325618,70.69400552266627,108.34140584231166,88.40239772547491,158.06208064761373,94.82625682056832,94.27957486962983,85.1305560485206,103.35695339693474,102.30156561076174,84.73932554737699,93.0498028084046,82.21058091071082,89.44278555479295
