,shoulder0_X,shoulder0_Y,shoulder0_Z,elbow_X,elbow_Y,elbow_Z,wrist_hand_X,wrist_hand_Y,wrist_hand_Z,EF_X,EF_Y,EF_Z,SubjectMass
Mean,-0.05184977435897435,0.023681856410256413,0.1846392666666667,0.08485485192307692,0.023244266168091172,0.25420990121082626,0.15994577716049385,0.09793262235675845,0.34397838998892055,0.17393874628838238,0.10843471616017727,0.3441114959164292,75.46666666666667
std,0.018044442736549652,0.02214296052106429,0.020760062251402506,0.10634097052138947,0.2632775085398864,0.1265380162486683,0.20424723115292454,0.3714827859601817,0.19242981365505,0.21707218861379485,0.38461459892248584,0.20482100817251492,10.184123740226982
