,Theta_35_V1_N,Theta_35_V2_N,Theta_35_V3_N,Theta_35_V4_N,Theta_35_V5_N,Theta_35_V6_N,Theta_35_V7_N,Theta_35_V8_N,Theta_35_V9_N,Theta_35_V10_N,Theta_35_V11_N,Theta_35_V12_N,Theta_35_V13_N,Theta_35_V14_N,Theta_35_V15_N,Theta_35_V16_N,Theta_35_V17_N,Theta_35_V18_N,Theta_35_V19_N,Theta_35_V20_N,Theta_35_V21_N,Theta_35_V22_N,Theta_35_V23_N,Theta_35_V24_N,Theta_35_V25_N,Theta_35_V26_N,Theta_35_V27_N,Theta_35_V28_N,Theta_35_V29_N,Theta_35_V30_N,Theta_35_V31_N,Theta_35_V32_N,Theta_35_V33_N,Theta_35_V34_N,Theta_35_V35_N,Theta_35_V36_N,Theta_35_V37_N,Theta_35_V38_N,Theta_35_V39_N,Theta_35_V40_N,Theta_35_V41_N,Theta_35_V42_N,Theta_35_V43_N,Theta_35_V44_N,Theta_35_V45_N,Theta_35_V46_N,Theta_35_V47_N,Theta_35_V48_N,Theta_35_V49_N,Theta_35_V50_N,Theta_35_V51_N,Theta_35_V52_N,Theta_35_V53_N,Theta_35_V54_N,Theta_35_V55_N,Theta_35_V56_N
Mean,114.92377411510763,90.48646906540044,127.72422192933684,99.19373511546377,126.9773344511396,98.07695761323994,133.8556066973726,143.78915723040518,80.28846870087052,84.02107627028332,168.13994458511394,123.73793820310226,137.9277693068851,86.31459341936531,164.80589462263376,95.45652884556822,157.33930352980374,124.92146646029599,146.33350493077717,103.84339070817505,147.78698388882557,149.388318671597,146.9643677004511,151.14269540081514,147.11571808380023,101.00172732287906,147.28012851468822,110.81812111427668,147.5027857303498,135.31118677663025,160.3103702095125,152.0407801395853,113.83770126750554,148.06980039419912,176.8075364318059,151.62606194999998,157.06816140779523,149.2195126275562,191.7312116973884,150.49979967423235,128.4402020234172,127.3694647424185,147.0229610268281,167.3550265628443,133.36322084832227,153.70259438503484,132.29626811244856,151.14490278012025,159.12303203777302,151.50040778931623,180.4998163243431,157.6590930749367,156.06587888052388,155.24554705242957,159.37997367447767,167.49198618581036
std,108.88519823701365,81.47851678510217,111.75438048255668,90.78601784243862,112.31113150067053,82.56279280711156,107.7905202281947,110.95955640363404,50.672468460170435,53.692398737234214,133.74923962162688,97.79676346067352,113.54580050059526,53.69042588360935,116.96154882801167,60.80892518706413,140.14975248787246,85.10445032677285,111.73289485364118,71.30894324126768,104.57645190575462,106.53119110859316,102.7534301417299,109.36795557583714,101.78337077029961,70.69400552266627,101.67456877494485,84.8997766249106,110.48126612764925,97.80626353056667,138.69267354960516,107.85042762145288,80.67862480900875,100.57726901373184,117.44337343222332,103.64723546340753,119.26670284248374,100.26967272048358,133.29087118060139,101.06454617731893,101.06595672568038,96.05400754861255,90.63830255999831,96.94393618161625,93.89508616135431,101.7520207405416,92.27809819529037,76.0072601150132,98.46470463306193,84.9225684681245,98.67569480895615,86.94210858422838,87.7257848609046,88.42217224120078,81.92928901679038,91.30626444627018
