,Theta_25_V1_N,Theta_25_V2_N,Theta_25_V3_N,Theta_25_V4_N,Theta_25_V5_N,Theta_25_V6_N,Theta_25_V7_N,Theta_25_V8_N,Theta_25_V9_N,Theta_25_V10_N,Theta_25_V11_N,Theta_25_V12_N,Theta_25_V13_N,Theta_25_V14_N,Theta_25_V15_N,Theta_25_V16_N,Theta_25_V17_N,Theta_25_V18_N,Theta_25_V19_N,Theta_25_V20_N,Theta_25_V21_N,Theta_25_V22_N,Theta_25_V23_N,Theta_25_V24_N,Theta_25_V25_N,Theta_25_V26_N,Theta_25_V27_N,Theta_25_V28_N,Theta_25_V29_N,Theta_25_V30_N,Theta_25_V31_N,Theta_25_V32_N,Theta_25_V33_N,Theta_25_V34_N,Theta_25_V35_N,Theta_25_V36_N,Theta_25_V37_N,Theta_25_V38_N,Theta_25_V39_N,Theta_25_V40_N,Theta_25_V41_N,Theta_25_V42_N,Theta_25_V43_N,Theta_25_V44_N,Theta_25_V45_N,Theta_25_V46_N,Theta_25_V47_N,Theta_25_V48_N,Theta_25_V49_N,Theta_25_V50_N,Theta_25_V51_N,Theta_25_V52_N,Theta_25_V53_N,Theta_25_V54_N,Theta_25_V55_N,Theta_25_V56_N,Theta_25_V57_N,Theta_25_V58_N,Theta_25_V59_N,Theta_25_V60_N,Theta_25_V61_N,Theta_25_V62_N,Theta_25_V63_N,Theta_25_V64_N,Theta_25_V65_N,Theta_25_V66_N,Theta_25_V67_N,Theta_25_V68_N,Theta_25_V69_N,Theta_25_V70_N,Theta_25_V71_N,Theta_25_V72_N,Theta_25_V73_N,Theta_25_V74_N,Theta_25_V75_N,Theta_25_V76_N,Theta_25_V77_N,Theta_25_V78_N,Theta_25_V79_N,Theta_25_V80_N,Theta_25_V81_N,Theta_25_V82_N,Theta_25_V83_N,Theta_25_V84_N,Theta_25_V85_N,Theta_25_V86_N,Theta_25_V87_N,Theta_25_V88_N,Theta_25_V89_N,Theta_25_V90_N,Theta_25_V91_N,Theta_25_V92_N,Theta_25_V93_N,Theta_25_V94_N,Theta_25_V95_N,Theta_25_V96_N,Theta_25_V97_N,Theta_25_V98_N,Theta_25_V99_N,Theta_25_V100_N,Theta_25_V101_N,Theta_25_V102_N,Theta_25_V103_N,Theta_25_V104_N,Theta_25_V105_N,Theta_25_V106_N
Mean,111.40797305451882,95.00254910567426,120.71991574148463,101.91776329539411,115.87378232151788,97.30391881024849,126.62668108396643,135.50738423070595,80.21264009301203,84.00133837991453,128.59877043738524,144.84239634336814,118.92075151200538,82.32160864825106,155.55306459406458,132.04607668778092,108.07966459993666,93.95927082087684,138.9286972659386,144.35264697484172,139.25139900037988,91.53767356852643,138.4706750420465,83.2251989701646,85.02135771741057,85.18142376759259,154.17411243044478,178.81418925914056,142.33470458113328,89.94745613621399,141.24224512304525,178.0540994350111,108.43526166774296,91.40240081806743,164.78396317583096,156.9515757127176,131.3747774259101,97.74550337451726,149.89887090483538,109.56266078319089,147.9711168393004,144.98012072460432,149.11937051736308,147.18759235926714,101.56689773687877,150.48019954882872,146.92445372349636,151.50478997788858,147.11571808380023,101.00172732287909,147.2801285146882,106.42596551464862,145.90963814015515,118.80683797223014,151.16598960879233,140.70136354455525,160.81241388004113,152.04078013958528,107.8896481719769,147.79778660922761,169.2036431324549,151.85026975993193,127.74978699656536,148.54979403237576,186.8141070491928,151.1966349986863,165.70899421292336,149.39244114514088,191.97298814671572,150.3092230803023,116.4348627314973,116.33865471285218,146.13097756005064,165.34582835872905,122.80534389616174,137.65586824643876,121.942818238881,146.45367434897122,138.57702549813231,147.83339968696578,124.99519212983539,152.61391635773978,178.53284962467552,159.42264648335708,124.52808916877969,152.8003662614989,165.91896222598132,150.89912538005703,184.6779215179883,154.62524287509495,144.33685103261314,141.69597398011237,150.2588679369896,168.3201844858183,144.84822082867205,156.82813484758626,143.16750648191677,155.53219157667775,160.66911181167296,155.21284645818298,174.07489720459793,160.22798687861666,157.86974205515193,157.73174115607,161.5132543434394,166.18658914212568
std,100.7678691137737,93.94750896185172,108.80953572855125,100.85237972681456,105.66682952608217,89.41312477001983,108.94273707702206,111.64137427805858,54.83939269568388,58.266271063339296,108.93438238479547,121.51018735948342,112.3143381199458,53.97824551831844,123.77415295585176,112.29876358691104,81.79807435258664,64.85449226102061,108.99484710227966,109.89865798569096,116.94000008073621,57.79721805707006,111.50715976982019,51.20236322190982,52.42195586426324,52.500713326054246,113.14033378781357,143.58824019104722,116.89469791431247,55.78877188440364,111.50797957681226,125.47504647822727,72.41063401641934,57.8354876146765,115.86060491780339,134.89729869220906,92.79978114636204,62.44081804246196,115.98837817723204,78.0200559685056,104.79513773673548,109.20164143343617,106.13884175942646,103.44128866381537,69.03568559273725,108.84349815466567,102.40814875326262,109.13999935924019,101.78337077029961,70.69400552266626,101.67456877494485,77.49926976556849,107.34769210215408,92.4665515534019,113.36935595292971,102.83817254453032,149.81947717126587,107.85042762145288,78.00424824157516,100.83326653958994,114.18240197514632,104.77031194056607,91.25060545602679,100.48046870482506,123.31979946315283,102.33374815818712,130.32986627841294,100.24685304921402,148.25411298729972,100.82388970937285,87.9334889765465,86.06498469924881,96.38663081856568,106.28418516281741,94.14376491435756,109.05250273143447,90.46502688546379,84.0815809551433,99.26597980165333,89.4881825936536,90.86022725131413,104.8085601288699,101.81377718372545,93.29625532885042,89.74777533436671,88.37525394460975,107.00433733500883,88.20162238924972,111.78088300008412,88.90527532461273,100.6139812488544,95.40930307420905,78.6599614166075,88.44676691207412,92.13715907618469,89.6758937067065,90.86325367379992,78.80580224746393,92.2602317995873,81.54410367299086,96.76656278502954,84.2453749058546,86.6662894167007,87.62217806041446,84.87291087384142,89.52065261652635
